task_completion,attendance_punctuality,communication_teamwork,initiative_adaptability,quality_of_work,target_classification,label_task_completion,label_attendance_punctuality,label_communication_teamwork,label_initiative_adaptability,label_quality_of_work
3.97,4.94,3.06,5.0,2.04,critical_gap,needs_improvement,meets_expectations,critical_gap,meets_expectations,critical_gap
3.33,4.12,3.64,3.61,4.96,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations
1.92,1.0,1.0,1.31,2.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.28,4.17,4.08,3.47,3.12,critical_gap,needs_improvement,meets_expectations,meets_expectations,needs_improvement,critical_gap
3.09,2.85,3.32,3.85,4.18,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,meets_expectations
3.3,3.43,4.06,3.09,3.12,critical_gap,needs_improvement,needs_improvement,meets_expectations,critical_gap,critical_gap
4.44,4.04,3.92,3.46,3.03,critical_gap,meets_expectations,meets_expectations,needs_improvement,needs_improvement,critical_gap
4.55,3.5,2.71,4.6,3.59,critical_gap,meets_expectations,needs_improvement,critical_gap,meets_expectations,needs_improvement
3.61,1.1,4.6,2.67,2.08,critical_gap,needs_improvement,critical_gap,meets_expectations,critical_gap,critical_gap
2.93,3.16,3.83,2.4,4.21,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,meets_expectations
3.44,2.17,3.09,2.77,4.33,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,meets_expectations
3.5,3.9,4.04,4.08,3.85,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement
3.61,3.35,3.38,4.61,2.68,critical_gap,needs_improvement,needs_improvement,needs_improvement,meets_expectations,critical_gap
3.65,4.26,4.53,4.0,3.53,needs_improvement,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement
5.0,4.74,4.86,5.0,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.5,4.34,4.28,3.18,4.07,needs_improvement,meets_expectations,meets_expectations,meets_expectations,critical_gap,meets_expectations
4.41,2.03,3.51,3.65,3.0,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,critical_gap
4.59,2.24,3.6,3.58,3.92,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,needs_improvement
3.87,4.24,4.12,3.94,3.42,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement
4.43,3.74,3.08,3.42,3.3,critical_gap,meets_expectations,needs_improvement,critical_gap,needs_improvement,needs_improvement
4.18,3.67,3.34,3.95,3.58,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
3.53,3.13,3.81,5.0,3.72,critical_gap,needs_improvement,critical_gap,needs_improvement,meets_expectations,needs_improvement
4.43,5.0,5.0,5.0,4.91,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.2,2.95,2.88,3.72,3.65,critical_gap,meets_expectations,critical_gap,critical_gap,needs_improvement,needs_improvement
5.0,2.73,3.62,3.26,3.96,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,needs_improvement
3.2,2.68,2.68,2.82,3.2,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,needs_improvement
2.19,4.18,2.56,1.0,4.88,critical_gap,critical_gap,meets_expectations,critical_gap,critical_gap,meets_expectations
4.89,3.73,4.17,4.35,3.92,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations,needs_improvement
2.69,2.04,3.78,3.46,1.91,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap
3.8,5.0,4.94,4.51,4.46,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.91,3.29,3.49,3.35,4.12,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations
4.23,3.65,3.88,4.24,3.45,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations,needs_improvement
3.31,3.13,2.3,3.16,2.58,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
1.95,1.11,1.0,1.0,1.65,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.5,4.26,2.21,4.44,3.51,critical_gap,critical_gap,meets_expectations,critical_gap,meets_expectations,needs_improvement
3.04,3.38,3.86,1.44,2.5,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap
3.17,3.15,3.42,3.11,1.97,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
4.89,4.84,4.31,4.63,4.19,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.27,4.24,4.09,4.56,4.21,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.37,5.0,2.48,3.84,2.82,critical_gap,needs_improvement,meets_expectations,critical_gap,needs_improvement,critical_gap
4.02,4.12,3.95,4.5,2.08,needs_improvement,meets_expectations,meets_expectations,needs_improvement,meets_expectations,critical_gap
2.75,2.4,2.16,2.54,1.07,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
1.51,1.98,1.0,1.97,1.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.48,3.25,2.09,3.28,3.41,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement,needs_improvement
2.98,2.94,4.77,3.77,3.42,critical_gap,critical_gap,critical_gap,meets_expectations,needs_improvement,needs_improvement
2.15,1.3,2.72,2.05,2.24,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.89,4.13,4.62,4.88,4.2,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.23,5.0,3.92,3.46,3.3,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement,needs_improvement
3.54,4.62,2.9,3.11,4.01,critical_gap,needs_improvement,meets_expectations,critical_gap,critical_gap,meets_expectations
2.5,3.5,2.4,1.54,3.3,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement
4.16,3.6,3.44,3.43,3.52,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.49,4.1,3.42,4.29,4.72,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations
4.39,4.19,4.82,4.28,4.74,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.56,4.05,3.07,3.22,3.42,critical_gap,needs_improvement,meets_expectations,critical_gap,needs_improvement,needs_improvement
3.43,3.08,3.58,2.75,2.46,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,critical_gap
3.73,3.49,3.74,4.13,3.58,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement
3.9,3.05,3.49,3.25,2.81,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement,critical_gap
2.12,4.12,2.23,3.91,3.18,critical_gap,critical_gap,meets_expectations,critical_gap,needs_improvement,critical_gap
1.95,2.15,1.36,1.0,1.48,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.75,3.93,3.27,2.87,3.08,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap
3.42,3.93,2.49,2.72,2.1,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,critical_gap
3.54,2.98,4.5,1.79,2.69,critical_gap,needs_improvement,critical_gap,meets_expectations,critical_gap,critical_gap
4.85,4.56,4.29,4.31,4.69,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
1.36,1.92,1.0,2.01,2.43,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.09,1.83,1.55,2.14,1.74,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.45,2.66,4.08,3.66,3.08,critical_gap,needs_improvement,critical_gap,meets_expectations,needs_improvement,critical_gap
3.07,2.8,2.48,4.59,3.27,critical_gap,critical_gap,critical_gap,critical_gap,meets_expectations,needs_improvement
2.61,2.69,3.62,1.69,3.07,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
2.09,4.11,3.59,2.73,3.92,critical_gap,critical_gap,meets_expectations,needs_improvement,critical_gap,needs_improvement
2.79,1.67,1.0,2.46,2.45,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.67,4.79,4.47,4.64,4.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.95,1.0,4.65,3.82,2.91,critical_gap,needs_improvement,critical_gap,meets_expectations,needs_improvement,critical_gap
1.0,1.98,1.63,2.98,1.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.23,4.19,3.24,3.12,4.28,needs_improvement,meets_expectations,meets_expectations,needs_improvement,critical_gap,meets_expectations
2.39,3.14,3.27,3.42,3.39,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement
3.4,1.0,2.78,1.76,1.33,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
4.66,4.53,4.32,4.49,4.78,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.25,3.32,2.93,3.8,4.5,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement,meets_expectations
2.24,3.2,3.53,2.25,2.84,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap
4.39,4.03,4.3,3.49,4.24,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
3.33,3.22,4.06,4.09,4.42,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,meets_expectations
2.05,1.68,1.57,2.58,2.54,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.56,2.62,3.52,4.69,3.98,critical_gap,critical_gap,critical_gap,needs_improvement,meets_expectations,needs_improvement
3.61,3.41,3.39,3.22,3.56,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
2.33,3.19,3.33,3.73,2.0,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap
2.48,3.26,3.26,2.18,3.77,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement
1.72,3.32,1.74,2.32,2.19,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap
2.28,1.34,2.55,1.09,2.12,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.27,3.68,1.78,3.16,3.35,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,needs_improvement
3.39,4.41,4.51,4.28,3.65,needs_improvement,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement
3.48,3.41,3.06,3.19,3.34,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,needs_improvement
5.0,5.0,5.0,3.93,4.3,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
3.36,3.64,3.77,3.78,3.66,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
2.34,1.94,2.85,2.11,2.41,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.86,1.33,2.24,2.31,2.76,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.73,4.73,4.38,4.51,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.39,1.0,3.53,4.84,2.14,critical_gap,needs_improvement,critical_gap,needs_improvement,meets_expectations,critical_gap
5.0,4.17,4.82,4.26,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
1.96,2.32,2.85,2.07,2.01,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.57,3.02,2.78,1.9,2.48,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.88,2.96,3.66,2.44,3.15,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,critical_gap
2.83,1.02,2.7,1.51,1.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.8,4.67,3.73,5.0,4.61,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations
2.89,2.49,3.57,3.34,3.73,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement
5.0,4.93,4.35,4.83,4.4,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.28,2.6,3.2,2.9,3.05,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
3.25,3.69,3.01,2.39,5.0,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap,meets_expectations
3.43,3.64,4.33,3.7,4.02,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations
3.83,3.17,2.93,3.54,5.0,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement,meets_expectations
2.95,2.55,3.76,2.57,2.74,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
2.78,2.78,3.94,2.86,3.5,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement
3.82,3.59,3.21,2.8,4.04,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap,meets_expectations
3.82,3.12,4.5,3.66,3.33,critical_gap,needs_improvement,critical_gap,meets_expectations,needs_improvement,needs_improvement
3.43,4.1,4.46,3.66,4.56,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement,meets_expectations
3.81,3.83,3.92,3.67,3.78,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.7,4.48,4.13,4.49,4.72,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.2,2.34,1.41,2.08,2.53,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,critical_gap
3.38,2.23,2.96,1.77,4.03,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,meets_expectations
2.48,3.36,3.76,2.47,2.97,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap,critical_gap
5.0,4.75,4.33,4.78,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.61,1.98,4.51,4.72,3.3,critical_gap,needs_improvement,critical_gap,meets_expectations,meets_expectations,needs_improvement
4.21,3.63,3.76,3.55,3.18,critical_gap,meets_expectations,needs_improvement,needs_improvement,needs_improvement,critical_gap
3.61,3.62,3.79,4.11,3.59,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement
5.0,3.63,4.98,4.88,3.76,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations,needs_improvement
4.12,2.71,3.38,4.19,3.69,critical_gap,meets_expectations,critical_gap,needs_improvement,meets_expectations,needs_improvement
2.41,2.4,2.02,2.14,2.08,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.37,3.3,3.57,4.54,3.63,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement
4.1,3.96,5.0,3.84,5.0,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,meets_expectations
1.49,3.53,1.55,1.56,2.67,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap
4.06,3.23,3.41,4.62,4.42,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations,meets_expectations
2.09,2.19,2.18,1.41,3.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.15,2.95,3.99,3.89,4.98,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,meets_expectations
4.08,3.88,3.56,4.69,3.44,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations,needs_improvement
